course_code,prerequisites,prereq_warnings,concurrent_with,min_standing,notes,warning_text
AIM 4430,AIM 4420,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=AIM 4420,
AIM 4440,AIM 4400,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=AIM 4400,
AIM 4470,none,"major_restriction,instructor_consent",,0.0,,AIM major declaration required
AIM 4931,none,major_restriction,,0.0,,
AIM 4986,AIM 3986,"major_restriction,instructor_consent",,0.0,,
AIM 4989,none,"major_restriction,instructor_consent",,0.0,,
AIM 4995,none,"major_restriction,instructor_consent",,0.0,,
AIM 4996,none,"major_restriction,instructor_consent",,0.0,,
BUAD 1001,none,major_restriction,,0.0,,
BUAD 1560,MATH 1400,,,1.0,,
BUAD 2001,BUAD 1001;BUAD 1560,,,1.0,,
BUAN 3065,BUAD 1560,major_restriction,,0.0,TODO: complex prereq; extracted codes=BUAD 1560,
BUAN 3066,BUAN 3065,major_restriction,,0.0,,
BUAN 3986,BUAN 3065,instructor_consent,,0.0,,
BUAN 4060,BUAN 3065;BUAN 3066,,,0.0,,
BUAN 4061,BUAN 3065;BUAN 3066,,,0.0,,
BUAN 4931,BUAD 1560,,,0.0,,
BUAN 4986,BUAN 3986,instructor_consent,,0.0,,
BUAN 4989,BUAN 3065,instructor_consent,,0.0,,
BULA 3001,none,standing_requirement,,2.0,,Required for ACCO majors
BULA 4001,none,standing_requirement,,0.0,,
CMST 2300,none,standing_requirement,,2.0,,
ECON 1103,none,,,0.0,,
ECON 1104,ECON 1103,,,1.0,,
ECON 3004,ECON 1103;ECON 1104;MATH 1400,,,0.0,,
ECON 4040,ECON 1103;ECON 1104,,,0.0,,
ECON 4044,ECON 1103;ECON 1104,,,0.0,,
ECON 4045,ECON 1103;ECON 1104,,,0.0,,
ECON 4046,ECON 1103;ECON 1104,,,0.0,,
ECON 4060,ECON 3003;BUAD 1560,,,0.0,,
ECON 4080,ECON 3004,,,0.0,,
ENTP 3001,BUAD 1001,major_restriction,,2.0,ENTP majors,
ENTP 4010,ENTP 3001,,,0.0,,
FINA 3001,ECON 1103;BUAD 1560;ACCO 1031,may_be_concurrent,ECON 1103,2.0,,
FINA 3002,ACCO 1030;ECON 1103;FINA 3001,may_be_concurrent,ACCO 1030,0.0,,
FINA 3370,none,instructor_consent,,0.0,,
FINA 3986,FINA 3001,instructor_consent,,0.0,,
FINA 4001,ACCO 1031;FINA 3001,,,0.0,,
FINA 4002,FINA 3001,,,0.0,,
FINA 4011,ACCO 1031;FINA 3001,,,0.0,,
FINA 4020,FINA 3001,,,0.0,,
FINA 4023,FINA 3001,,,0.0,,
FINA 4040,FINA 3001,,,0.0,,
FINA 4050,FINA 3001,,,0.0,,
FINA 4060,FINA 3001,,,0.0,,
FINA 4065,FINA 3001,,,0.0,,
FINA 4075,FINA 3001,,,0.0,,
FINA 4081,FINA 3001;FINA 4001,,,0.0,,
FINA 4082,FINA 3001,,,0.0,,
FINA 4084,FINA 3001,,,0.0,,
FINA 4085,FINA 4065,,,0.0,,
FINA 4121,FINA 3001,,,0.0,,
FINA 4122,FINA 3001,,,0.0,,
FINA 4123,FINA 4001;FINA 4011;FINA 4020;FINA 4121;FINA 4122,,,0.0,,
FINA 4191,FINA 3001,,,0.0,,
FINA 4210,FINA 3002;MANA 3001,instructor_consent,,0.0,,
FINA 4211,FINA 3002,admitted_program,,0.0,,
FINA 4212,FINA 3002;FINA 4210,,,0.0,,
FINA 4931,none,,,0.0,,
FINA 4953,FINA 3001,,,0.0,,
FINA 4986,FINA 3986,instructor_consent,,0.0,,
FINA 4989,FINA 3001,instructor_consent,,0.0,,
FINA 4995,none,instructor_consent,,0.0,,
FINAI 4931,FINA 3001,,,0.0,Catalog details pending validation.,
HURE 3001,BUAD 1001,,,2.0,Alternate non-business/minor pathways exist; catalog review may be needed.,
HURE 4060,HURE 3001;BUAD 1560,,,0.0,,
HURE 4101,HURE 3001,,,0.0,,
INBUI 4931,none,instructor_consent,,0.0,Catalog details pending validation.,
INSY 3001,none,,,2.0,,
INSY 3986,INSY 3001,instructor_consent,,0.0,,
INSY 4051,INSY 3001,,,0.0,,
INSY 4052,INSY 3001,,,0.0,,
INSY 4053,INSY 3001,instructor_consent,,0.0,,
INSY 4054,INSY 3001;INSY 4051,,,0.0,,
INSY 4055,INSY 4051,,,0.0,,
INSY 4056,INSY 3001,standing_requirement,,0.0,,
INSY 4156,INSY 3001,,,0.0,,
INSY 4158,Two courses from: INSY 4051 or INSY 4052 or INSY 4053 or INSY 4054 or INSY 4055,,,0.0,Catalog requires any two from 4051/4052/4053/4054/4055.,
INSY 4931,INSY 3001,,,0.0,,
INSY 4986,INSY 3986,instructor_consent,,0.0,,
INSY 4989,INSY 3001,instructor_consent,,0.0,,
INSY 4995,none,instructor_consent,,0.0,,
LEAD 1050,none,major_restriction,,0.0,,
LEAD 2000,LEAD 1050,"may_be_concurrent,major_restriction",LEAD 1050,1.0,,
LEAD 3000,LEAD 2000,"major_restriction,standing_requirement",,0.0,,
MANA 3001,none,,,3.0,,
MANA 3002,none,standing_requirement,,0.0,,
MANA 3034,none,standing_requirement,,0.0,,
MANA 3035,none,standing_requirement,,0.0,,
MANA 4101,FINA 3001;INSY 3001;MANA 3001;MARK 3001;OSCM 3001,standing_requirement,,4.0,,
MARK 3001,ECON 1103,,,2.0,,
MARK 4040,MARK 3001,,,0.0,,
MARK 4060,MARK 3001;BUAD 1560,,,0.0,,
MARK 4065,MARK 3001;BUAD 1560,,,0.0,,
MARK 4085,MARK 3001,,,0.0,,
MARK 4094,MARK 3001,,,0.0,,
MATH 1200,none,,,0.0,,
MATH 1400,MATH 1200,placement_required,,1.0,,
MATH 1450,MATH 1400,placement_required,,1.0,,
OSCM 3001,none,,,2.0,,
OSCM 3986,OSCM 3001,instructor_consent,,0.0,,
OSCM 4005,OSCM 3001,,,0.0,,
OSCM 4010,OSCM 3001,,,0.0,,
OSCM 4015,OSCM 3001,,,0.0,,
OSCM 4020,OSCM 3001,,,0.0,,
OSCM 4025,OSCM 3001,,,0.0,,
OSCM 4035,OSCM 3001,,,0.0,,
OSCM 4040,OSCM 3001,,,0.0,,
OSCM 4045,OSCM 3001,,,0.0,,
OSCM 4057,OSCM 3001;INSY 3001,,,0.0,,
OSCM 4060,OSCM 3001,,,0.0,,
OSCM 4065,OSCM 3001,,,0.0,,
OSCM 4080,OSCM 3001,instructor_consent,,0.0,,
OSCM 4082,OSCM 3001,instructor_consent,,0.0,,
OSCM 4085,OSCM 3001;OSCM 4040;OSCM 4060,instructor_consent,,0.0,,
OSCM 4931,OSCM 3001,,,0.0,,
OSCM 4986,OSCM 3986,instructor_consent,,0.0,,
OSCM 4989,OSCM 3001,instructor_consent,,0.0,,
OSCM 4995,none,instructor_consent,,0.0,,
OSCM 4997,OSCM 3001;OSCM 4010,hard_prereq_complex,,0.0,Catalog requires OSCM 3001 + OSCM 4010 + choose 1 from (4020/4025/4040).,
PHIL 4330,PHIL 1001,,,1.0,,
REAL 3001,ECON 1103;ACCO 1030,,,0.0,,
REAL 4061,REAL 3001,,,0.0,,
REAL 4100,REAL 3001,,,0.0,,
REAL 4210,FINA 3001;REAL 3001;FINA 4002,admitted_program,,0.0,REAP students only,Acceptance to the REAP program required
HURE 3986,HURE 3001,instructor_consent,,0.0,,
HURE 3990,HURE 3001,"major_restriction,instructor_consent",,0.0,Declared HURE minor required; not available to CBA students.,
HURE 4003,HURE 3001,,,0.0,,
HURE 4010,HURE 3001;BUAD 1560,,,0.0,,
HURE 4030,HURE 3001;BUAD 1560,,,0.0,,
HURE 4080,HURE 3001,,,0.0,,
HURE 4140,HURE 3001,,,0.0,,
HURE 4931,HURE 3001,,,0.0,,
HURE 4986,HURE 3986,instructor_consent,,0.0,,
HURE 4989,HURE 3001,instructor_consent,,0.0,,
HURE 4990,HURE 3001,"may_be_concurrent,major_restriction,instructor_consent",HURE 3001,0.0,,
HURE 4991,HURE 3001,"may_be_concurrent,major_restriction,instructor_consent",HURE 3001,0.0,,
HURE 4995,none,instructor_consent,,0.0,,
MANA 4010,MANA 3001,,,0.0,,
CMST 4250,none,manual_review,,3.0,Placeholder metadata; full prerequisites pending.,
ENGL 1001,none,,,0.0,,
PHIL 1001,none,,,0.0,,
THEO 1001,none,,,0.0,,
CORE 1929,THEO 1001 or PHIL 1001,standing_requirement,,2.0,,
ANTH 1001,none,,,0.0,,
EDUC 1001,none,,,0.0,,
ENGL 2020,none,,,0.0,,
ENGL 2030,none,,,0.0,,
HEAL 1025,none,,,0.0,,
HIST 1101,none,,,0.0,,
HIST 1130,none,,,0.0,,
HIST 1601,none,,,0.0,,
HIST 1701,none,,,0.0,,
HOPR 2956H,none,"admitted_program,standing_requirement",,2.0,,
INGS 1001,none,,,0.0,,
INPS 2010,none,"standing_requirement,instructor_consent",,1.0,,
LLAC 1020,none,,,0.0,,
SOCI 1001,none,,,0.0,,
SOCI 1101,none,,,0.0,,
SOWJ 1001,none,,,0.0,,
SOWJ 1101,none,,,0.0,,
SPAN 3300,SPAN 3001,,,0.0,,
SPAN 3310,SPAN 3001,,,0.0,,
THAR 2020,none,,,0.0,,
CORE 4929,none,standing_requirement,,3.0,,
ENTP 3080,ENTP 3001,,,0.0,,
BUAD 1060,none,major_restriction,,0.0,,
BUAD 1931,none,,,0.0,,
BUAD 1986,none,"major_restriction,instructor_consent",,0.0,,
BUAD 1987,none,"major_restriction,instructor_consent",,0.0,,
BUAD 2100,none,major_restriction,,0.0,,
BUAD 2160,none,major_restriction,,0.0,,
BUAD 2986,BUAD 1986,"major_restriction,instructor_consent",,1.0,,
BUAD 2987,BUAD 1987,"major_restriction,instructor_consent",,1.0,,
BUAD 2989,none,"major_restriction,instructor_consent",,0.0,,
BUAD 3089,none,"major_restriction,standing_requirement,instructor_consent",,0.0,,
BUAD 3399,none,"standing_requirement,instructor_consent",,0.0,,
BUAD 3986,none,instructor_consent,,0.0,,
BUAD 3987,none,instructor_consent,,0.0,,
BUAD 3988,none,"standing_requirement,instructor_consent",,0.0,,
BUAD 4010,none,,,0.0,,
BUAD 4931,none,standing_requirement,,0.0,,
BUAD 4986,BUAD 3986,instructor_consent,,0.0,,
BUAD 4987,none,"standing_requirement,instructor_consent",,0.0,,
BUAD 4988,BUAD 3988,instructor_consent,,0.0,,
BUAD 4989,none,instructor_consent,,0.0,,
BUAD 4990,none,"major_restriction,instructor_consent",,0.0,,
BUAD 4991,none,"major_restriction,instructor_consent",,0.0,,
BUAD 4992,BUAD 4991,"major_restriction,instructor_consent",,0.0,,
BUAD 4995,none,instructor_consent,,0.0,,
BULA 4931,BULA 3001,,,0.0,,
BULA 4995,none,instructor_consent,,0.0,,
ECON 1103H,none,,,0.0,,
ECON 1104H,ECON 1103,,,1.0,,
ECON 1930,none,,,0.0,,
ECON 3003,ECON 1103;ECON 1104;MATH 1400,,,0.0,,
ECON 3042,ECON 1103;ECON 1104,,,0.0,,
ECON 3399,ECON 3004,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=ECON 3004,
ECON 3986,ECON 3003,instructor_consent,,0.0,,
ECON 4005,ECON 1103;ECON 1104,,,0.0,,
ECON 4006,ECON 1103;ECON 1104,,,0.0,,
ECON 4008,ECON 1103;ECON 1104,,,0.0,,
ECON 4010,ECON 1103;ECON 1104;ECON 3003,,,0.0,,
ECON 4012,ECON 1103;ECON 1104,,,0.0,,
ECON 4016,ECON 1103;ECON 1104,,,0.0,,
ECON 4020,ECON 1103;ECON 1104,,,0.0,,
ECON 4022,ECON 1103;ECON 1104,,,0.0,,
ECON 4025,ECON 1103;ECON 1104,instructor_consent,,0.0,,
ECON 4030,ECON 1103;ECON 1104,,,0.0,,
ECON 4047,ECON 1103;ECON 1104,,,0.0,,
ECON 4065,ECON 3003;MATH 1400,,,0.0,,
ECON 4072,ECON 3003,,,0.0,,
ECON 4931,ECON 1103;ECON 1104,standing_requirement,,0.0,,
ECON 4986,ECON 3986,instructor_consent,,0.0,,
ECON 4989,ECON 3003,instructor_consent,,0.0,,
ECON 4995,none,instructor_consent,,0.0,,
ECONI 3040,none,"standing_requirement,instructor_consent",,0.0,,
ENTP 3986,ENTP 3001,instructor_consent,,0.0,,
ENTP 3990,ENTP 3001,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=ENTP 3001,
ENTP 4020,ENTP 3001,,,0.0,,
ENTP 4041,ENTP 3001,instructor_consent,,0.0,TODO: complex prereq; extracted codes=ENTP 3001,
ENTP 4931,ENTP 3001,,,0.0,,
ENTP 4986,ENTP 3986,instructor_consent,,0.0,,
ENTP 4989,ENTP 3001,instructor_consent,,0.0,,
ENTP 4990,ENTP 3001,"may_be_concurrent,major_restriction,instructor_consent",ENTP 3001,0.0,,
ENTP 4991,ENTP 3001,"may_be_concurrent,major_restriction,instructor_consent",ENTP 3001,0.0,,
ENTP 4995,ENTP 3001,instructor_consent,,0.0,,
INBU 2953,none,instructor_consent,,0.0,,
INBU 3986,none,"major_restriction,instructor_consent",,0.0,,
INBU 4141,MANA 3001;OSCM 3001;MARK 3001;FINA 3001,standing_requirement,,0.0,,
INBU 4931,none,standing_requirement,,0.0,,
INBU 4953,none,standing_requirement,,0.0,,
INBU 4986,INBU 3986,instructor_consent,,0.0,,
INBU 4989,none,"major_restriction,instructor_consent",,0.0,,
INBU 4995,none,instructor_consent,,0.0,,
MANA 3020,none,major_restriction,,0.0,,
MANA 4040,none,standing_requirement,,0.0,,
MANA 4045,none,,,0.0,,
MANA 4100,none,"standing_requirement,instructor_consent",,0.0,,
MANA 4931,none,standing_requirement,,0.0,,
MANA 4995,none,instructor_consent,,0.0,,
MARK 3986,MARK 3001,instructor_consent,,0.0,,
MARK 4005,MARK 3001,major_restriction,,0.0,TODO: complex prereq; extracted codes=MARK 3001,
MARK 4010,MARK 3001,,,0.0,,
MARK 4020,MARK 3001,,,0.0,,
MARK 4030,MARK 3001,,,0.0,,
MARK 4050,MARK 3001,,,0.0,,
MARK 4070,MARK 3001,,,0.0,,
MARK 4075,MARK 3001,,,0.0,,
MARK 4080,MARK 3001,,,0.0,,
MARK 4090,none,instructor_consent,,0.0,,
MARK 4095,MARK 3001,,,0.0,,
MARK 4110,MARK 3001;MARK 4060,standing_requirement,,0.0,,
MARK 4191,MARK 4094,,,0.0,,
MARK 4192,MARK 4094,,,0.0,,
MARK 4200,MARK 3001;BUAD 1560,,,0.0,,
MARK 4931,MARK 3001,,,0.0,,
MARK 4986,MARK 3986,instructor_consent,,0.0,,
MARK 4989,MARK 3001,instructor_consent,,0.0,,
MARK 4995,none,instructor_consent,,0.0,,
REAL 4002,FINA 3001,,,0.0,,
REAL 3986,REAL 3001,instructor_consent,,0.0,,
REAL 4120,REAL 3001;FINA 4002;REAL 4061,,,0.0,,
REAL 4220,FINA 3001;REAL 3001;FINA 4002;REAL 4210,,,0.0,,
REAL 4230,FINA 3001;REAL 3001;FINA 4002;REAL 4210;REAL 4220,,,0.0,,
REAL 4330,none,instructor_consent,,0.0,,
REAL 4931,REAL 3001,,,0.0,,
REAL 4986,REAL 3986,instructor_consent,,0.0,,
REAL 4989,REAL 3001,instructor_consent,,0.0,,
REAL 4995,none,instructor_consent,,0.0,,
ADPR 4750,none,,,0.0,,
ADVE 3986,none,,,0.0,,
ANTH 3100,none,,,0.0,,
ANTH 3986,none,,,0.0,,
ANTH 4986,none,,,0.0,,
ARBC 3200,none,,,0.0,,
ARBC 3220,none,,,0.0,,
ARBC 3800,none,,,0.0,,
ARSC 4953,none,,,0.0,,
BIOL 4987,none,,,0.0,,
BISC 3929,none,,,0.0,,
BISC 4460,none,,,0.0,,
CCOM 4986,none,,,0.0,,
CHNS 3215,none,,,0.0,,
CHNS 3700,none,,,0.0,,
CMST 3120,none,,,0.0,,
CMST 4986,none,,,0.0,,
CNEN 3860,none,,,0.0,,
COMM 4986,none,,,0.0,,
CRLS 2540,none,,,0.0,,
CRLS 3150,none,,,0.0,,
CRLS 3170,none,,,0.0,,
CRLS 3986,none,,,0.0,,
CRLS 4986,none,,,0.0,,
DGMD 3986,none,,,0.0,,
EDUC 4965,none,,,0.0,,
EDUC 4966,none,,,0.0,,
EDUC 4969,none,,,0.0,,
EDUC 4970,none,,,0.0,,
EDUC 4986,none,,,0.0,,
EDUC 4987,none,,,0.0,,
ENGL 2001,none,,,0.0,,
ENGL 3140,none,,,0.0,,
ENGL 3223,none,,,0.0,,
ENGL 3224,none,,,0.0,,
ENGL 3249,none,,,0.0,,
ENGL 3250,none,,,0.0,,
ENGL 3261,none,,,0.0,,
ENGL 3453,none,,,0.0,,
ENGL 3515,none,,,0.0,,
ENGL 3780,none,,,0.0,,
ENGL 3820,none,,,0.0,,
ENGL 4221,none,,,0.0,,
ENGL 4230,none,,,0.0,,
ENGL 4631,none,,,0.0,,
ENGL 4739,none,,,0.0,,
ENGL 4825,none,,,0.0,,
ENGL 4826,none,,,0.0,,
ENGL 4988,none,,,0.0,,
EXPH 4986,none,,,0.0,,
FREN 3000,none,,,0.0,,
GEEN 2960,none,,,0.0,,
GEEN 4850,none,,,0.0,,
GRMN 3540,none,,,0.0,,
GRMN 3550,none,,,0.0,,
GRMN 3552,none,,,0.0,,
HESC 3929,none,,,0.0,,
HIST 4120,none,,,0.0,,
HIST 4125,none,,,0.0,,
HIST 4135,none,,,0.0,,
HIST 4140,none,,,0.0,,
HIST 4155,none,,,0.0,,
HIST 4747,none,,,0.0,,
INES 4987,none,,,0.0,,
INGS 4997,none,,,0.0,,
INPS 3250,none,,,0.0,,
INPS 4997,none,,,0.0,,
JOUR 3986,none,,,0.0,,
JOUR 4986,none,,,0.0,,
LLAC 1010,none,,,0.0,,
LLAC 3220,none,,,0.0,,
LLAC 3250,none,,,0.0,,
MARQ 3929,none,,,0.0,,
MARQ 3961,none,,,0.0,,
MLSC 4180,none,,,0.0,,
NURS 3956H,none,,,0.0,,
NURS 3965,none,,,0.0,,
PHIL 3502,none,,,0.0,,
PHIL 3507,none,,,0.0,,
PHTH 4512,none,,,0.0,,
POSC 4986,none,,,0.0,,
PSYC 3201,none,,,0.0,,
PSYC 4420,none,,,0.0,,
PURE 3986,none,,,0.0,,
SOCI 3700,none,,,0.0,,
SOCI 3986,none,,,0.0,,
SOCI 4986,none,,,0.0,,
SOWJ 3170,none,,,0.0,,
SOWJ 3400,none,,,0.0,,
SOWJ 3986,none,,,0.0,,
SOWJ 4700,none,,,0.0,,
SOWJ 4986,none,,,0.0,,
SPAN 3001,none,,,0.0,,
SPAN 4150,none,,,0.0,,
THAR 3620,none,,,0.0,,
THAR 4986,none,,,0.0,,
THEO 2500,none,,,0.0,,
THEO 3250,none,,,0.0,,
THEO 3350,none,,,0.0,,
THEO 3355,none,,,0.0,,
THEO 3600,none,,,0.0,,
THEO 4270,none,,,0.0,,
THEO 4400,none,,,0.0,,
THEO 4520,none,,,0.0,,
ADPR 2200,ENGL 1001,"major_restriction,instructor_consent",,1.0,,
ANTH 2101,none,,,0.0,,
ARBC 3210,none,,,0.0,,
BIOL 4102,BIOL 3101,"may_be_concurrent,instructor_consent",BIOL 4532,3.0,,
BIOL 4202,BIOL 3201,"may_be_concurrent,instructor_consent",BIOL 3201,3.0,,
BIOL 4302,BIOL 3301,instructor_consent,,3.0,,
BIOL 4402,BIOL 3400,instructor_consent,,3.0,,
BIOL 4403,BIOL 3400,instructor_consent,,3.0,,
BIOL 4502,BIOL 4501,"may_be_concurrent,instructor_consent",BIOL 4501,4.0,,
BIOL 4702,BIOL 4701,"may_be_concurrent,instructor_consent",BIOL 4701,4.0,,
BIOL 4802,BIOL 4801,instructor_consent,,4.0,,
BISC 4325,BISC 4145,,,4.0,,
CCOM 3250,CCOM 2000;ADPR 2200,instructor_consent,,2.0,,
CMST 3000,COMM 1000,,,1.0,,
CMST 4997,CMST 3000,"major_restriction,instructor_consent",,3.0,Major restriction: must have completed 21+ CMST credit hours,
CRLS 3050,CRLS 1001;CRLS 2001;SOWJ 1001;SOCI 1001,instructor_consent,,1.0,,
EDUC 4000,none,,,0.0,,
EDUC 4540,PHIL 1001,standing_requirement,,2.0,,
ELEN 3025,EECE 3010;ELEN 2020;EECE 2015,,,3.0,,
ENGL 2011,none,,,0.0,,
ENGL 2012,ENGL 1001,,,1.0,,
ENGL 3000,ENGL 1001,,,1.0,,
ENGL 3210,ENGL 1001,,,1.0,,
ENGL 3211,ENGL 1001,,,1.0,,
ENGL 3220,ENGL 1001,,,1.0,,
ENGL 3221,ENGL 1001,,,1.0,,
ENGL 3222,ENGL 1001,,,1.0,,
ENGL 3240,ENGL 1001,,,1.0,,
ENGL 3241,ENGL 1001,,,1.0,,
ENGL 3242,ENGL 1001,,,1.0,,
ENGL 3301,ENGL 1001,,,1.0,,
ENGL 3302,ENGL 1001,,,1.0,,
ENGL 3410,ENGL 1001,,,1.0,,
ENGL 3462,ENGL 1001,,,1.0,,
ENGL 3513,ENGL 1001,,,1.0,,
ENGL 3514,ENGL 1001,,,1.0,,
ENGL 3517,ENGL 1001,,,1.0,,
ENGL 3730,ENGL 1001,,,1.0,,
ENGL 3734,ENGL 1001,,,1.0,,
ENGL 3738,ENGL 1001,,,1.0,,
ENGL 3751,ENGL 1001,,,1.0,,
ENGL 3756,ENGL 1001,,,1.0,,
ENGL 3761,ENGL 1001,,,1.0,,
ENGL 3762,ENGL 1001,,,1.0,,
ENGL 3766,ENGL 1001,,,1.0,,
ENGL 3785,ENGL 1001,,,1.0,,
ENGL 3786,ENGL 1001,,,1.0,,
ENGL 3841,ENGL 1001,,,1.0,,
ENGL 3860,ENGL 1001,,,1.0,,
ENGL 4000,ENGL 1001,,,1.0,,
ENGL 4220,ENGL 1001,,,1.0,,
ENGL 4250,ENGL 1001,,,1.0,,
ENGL 4260,ENGL 1001,,,1.0,,
ENGL 4270,ENGL 1001,,,1.0,,
ENGL 4303,ENGL 1001,,,1.0,,
ENGL 4311,ENGL 1001,,,1.0,,
ENGL 4331,ENGL 1001,,,1.0,,
ENGL 4402,ENGL 1001,,,1.0,,
ENGL 4412,ENGL 1001,,,1.0,,
ENGL 4422,ENGL 1001,,,1.0,,
ENGL 4423,ENGL 1001,,,1.0,,
ENGL 4472,ENGL 1001,,,1.0,,
ENGL 4616,ENGL 1001,,,1.0,,
ENGL 4715,ENGL 1001,,,1.0,,
ENGL 4755,ENGL 1001,,,1.0,,
ENGL 4830,ENGL 1001,,,1.0,,
ENGL 4932,ENGL 1001,,,1.0,,
ENGL 4954,ENGL 1001,instructor_consent,,1.0,,
ENGL 4997,ENGL 1001;ENGL 3000,instructor_consent,,3.0,,
EXPH 4020,EXPH 2115,,,2.0,Minimum grade of C required in EXPH 2115,
FILM 2600,none,,,0.0,,
FREN 4110,FREN 3001,instructor_consent,,3.0,,
FREN 4270,none,,,0.0,,
FREN 4280,FREN 3001;FREN 3500,instructor_consent,,3.0,,
GEEN 2961,none,"admitted_program,major_restriction",,2.0,,Admission to the E-Lead Program in the Opus College of Engineering required
GRMN 3500,GRMN 2003,instructor_consent,,2.0,,
GRMN 3505,none,,,0.0,,
HIST 1301,none,,,0.0,,
HIST 3104,none,standing_requirement,,2.0,,
HIST 4210,none,standing_requirement,,2.0,,
HIST 4460,none,standing_requirement,,2.0,HIST 1401 recommended,
HIST 4955,HIST 2000,standing_requirement,,4.0,,
INCG 4997,none,"major_restriction,standing_requirement,instructor_consent",,4.0,,INCG major required
JOUR 4150,JOUR 2100,,,2.0,,
NURS 4000,NURS 4700;NURS 4800;NURS 4964,,,4.0,,
PHIL 3505,PHIL 1001,,,1.0,,
PHIL 3610,PHIL 1001,,,1.0,,
PHIL 4540,PHIL 1001,,,1.0,,
PHIL 4954,PHIL 1001,"major_restriction,standing_requirement,instructor_consent",,3.0,,PHIL major required
POSC 3101,ENGL 1001;PHIL 1001,,,1.0,2000-level POSC course recommended,
POSC 4217,none,,,0.0,,
PURE 3600,PURE 1800;ADPR 2200,major_restriction,,2.0,,"Restricted to declared ADVE, CCOM and PURE majors and minors"
SOCI 3050,CRLS 1001;SOCI 1001;SOWJ 1001,instructor_consent,,1.0,,
SPAN 3005,none,"placement_required,major_restriction",,0.0,,Open to heritage learners of Spanish only
SPAN 3500,SPAN 3001,instructor_consent,,3.0,Not open to heritage and native learners of Spanish,
SPAN 3505,SPAN 3005,instructor_consent,,3.0,Open to heritage and native learners of Spanish only,
SPAN 4700,SPAN 3500,,,3.0,,
THAR 4600,none,,,0.0,,
THEO 3130,THEO 1001,,,1.0,,
THEO 3280,THEO 1001,,,1.0,,
THEO 3530,THEO 1001,standing_requirement,,2.0,,
THEO 4210,THEO 1001,standing_requirement,,3.0,,
THEO 4300,THEO 1001,standing_requirement,,3.0,,
THEO 4460,THEO 1001,standing_requirement,,3.0,,
ADPR 4600,none,,,0.0,,
ANTH 4316,none,,,0.0,,
CHNS 3200,none,,,0.0,,
CNEN 3810,none,,,0.0,,
COMM 1700,none,,,0.0,,
COSC 1010,none,,,0.0,,
HIST 3235,none,,,0.0,,
HIST 3455,none,,,0.0,,
HIST 4252,none,,,0.0,,
HIST 4260,none,,,0.0,,
HIST 4262,none,,,0.0,,
HIST 4264,none,,,0.0,,
HIST 4310,none,,,0.0,,
HIST 4350,none,,,0.0,,
HIST 4500,none,,,0.0,,
HIST 4555,none,,,0.0,,
ITAL 3200,none,,,0.0,,
MARKI 4931,none,,,0.0,,
MATH 1410,none,,,0.0,,
MATH 1700,none,,,0.0,,
POSC 4406,none,,,0.0,,
POSC 4501,none,,,0.0,,
POSC 4511,none,,,0.0,,
POSC 4521,none,,,0.0,,
